Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
122,Deon Jackson (IND),13,31,2.4,10,0,1,0,0,0,0,0,0,5,9.1,1.8,0.30%
123,Andy Janovich (HOU),2,0,0,1,0,1,3,4,9,3,0,0,6,8.9,1.5,0.00%
124,JaQuan Hardy (DAL),4,29,7.3,22,0,1,0,0,0,0,0,0,2,8.9,4.5,0.10%
125,Keith Smith (ATL),9,31,3.4,8,0,0,9,10,56,6.2,0,0,13,8.7,0.7,0.00%
126,Alex Armah Jr. (WAS),5,21,4.2,9,0,0,1,1,1,1,1,0,10,8.2,0.8,0.10%
127,Johnny Stanton (CLE),3,5,1.7,3,0,0,2,2,7,3.5,1,0,3,7.2,2.4,0.00%
128,Jonathan Ward (ARI),9,33,3.7,7,0,0,3,4,34,11.3,0,0,9,6.7,0.7,0.30%
129,Ito Smith (FA),1,4,4,4,0,1,0,0,0,0,0,0,1,6.4,6.4,0.00%
130,Mike Boone (DEN),4,35,8.8,16,0,0,2,2,22,11,0,0,3,5.7,1.9,0.80%
131,Trayveon Williams (CIN),15,51,3.4,10,0,0,1,2,4,4,0,0,4,5.5,1.4,0.10%
132,Jason Huntley (PHI),13,51,3.9,18,0,0,0,1,0,0,0,0,1,5.1,5.1,0.10%
133,Rodney Smith (FA),0,0,0,0,0,0,5,5,48,9.6,0,0,1,4.8,4.8,0.00%
134,Wendell Smallwood (FA),5,25,5,13,0,0,4,5,22,5.5,0,0,2,4.7,2.4,0.00%
135,Kalen Ballage (FA),12,36,3,13,0,0,2,7,8,4,0,0,9,4.4,0.5,0.10%
136,Jakob Johnson (LV),0,0,0,0,0,0,4,5,43,10.8,0,0,7,4.3,0.6,0.10%
137,La'Mical Perine (NYJ),8,31,3.9,14,0,0,0,0,0,0,0,0,2,3.1,1.6,0.10%
138,Kylin Hill (GB),10,24,2.4,8,0,0,1,2,5,5,0,0,8,2.9,0.4,0.40%
139,Dwayne Washington (NO),4,16,4,5,0,0,2,2,12,6,0,0,8,2.8,0.4,0.10%
140,Reggie Gilliam (BUF),3,3,1,2,0,0,3,5,23,7.7,0,0,8,2.6,0.3,0.10%
141,Gabe Nabers (LAC),3,8,2.7,4,0,0,3,3,17,5.7,0,0,7,2.5,0.4,0.10%
142,Jaylen Samuels (ARI),5,9,1.8,3,0,0,3,4,14,4.7,0,0,3,2.3,0.8,0.10%
143,Scottie Phillips (FA),6,13,2.2,4,0,0,2,3,9,4.5,0,0,3,2.2,0.7,0.00%
144,Patrick Laird (FA),1,4,4,4,0,0,3,3,17,5.7,0,0,3,2.1,0.7,0.00%
